year_month,region,prefecture,accidents,deaths,injuries
201901,中国,山口,278,3,344
201902,中国,山口,516,8,640
201903,中国,山口,812,12,1006
201904,中国,山口,1100,15,1357
201905,中国,山口,1357,16,1678
201906,中国,山口,1607,18,1989
201907,中国,山口,1876,20,2325
201908,中国,山口,2151,28,2660
201909,中国,山口,2404,32,2977
201910,中国,山口,2666,36,3279
201911,中国,山口,2928,39,3587
201912,中国,山口,3209,45,3922
202001,中国,山口,233,3,278
202002,中国,山口,448,6,536
202003,中国,山口,708,8,856
202004,中国,山口,917,12,1100
202005,中国,山口,1080,14,1289
202006,中国,山口,1279,17,1530
202007,中国,山口,1489,18,1774
202008,中国,山口,1708,21,2051
202009,中国,山口,1927,25,2321
202010,中国,山口,2181,31,2622
202011,中国,山口,2402,37,2878
202012,中国,山口,2641,42,3161
202101,中国,山口,198,3,245
202102,中国,山口,425,10,515
202103,中国,山口,653,11,786
202104,中国,山口,842,13,1011
202105,中国,山口,1011,15,1218
202106,中国,山口,1202,18,1429
202107,中国,山口,1387,19,1654
202108,中国,山口,1588,21,1906
202109,中国,山口,1773,22,2131
202110,中国,山口,1995,26,2386
202111,中国,山口,2219,29,2653
202112,中国,山口,2458,34,2948
202201,中国,山口,181,4,208
202202,中国,山口,347,5,402
202203,中国,山口,548,7,637
202204,中国,山口,722,9,838
202205,中国,山口,923,13,1079
202206,中国,山口,1112,15,1299
202207,中国,山口,1256,16,1469
202208,中国,山口,1466,18,1717
202209,中国,山口,1655,21,1926
202210,中国,山口,1871,27,2180
202211,中国,山口,2070,29,2404
202212,中国,山口,2261,31,2633
202301,中国,山口,201,3,238
202302,中国,山口,377,7,458
202303,中国,山口,574,13,684
202304,中国,山口,772,14,908
202305,中国,山口,939,15,1118
202306,中国,山口,1120,16,1339
202307,中国,山口,1289,17,1530
202308,中国,山口,1494,20,1776
202309,中国,山口,1673,23,2006
202310,中国,山口,1860,25,2219
202311,中国,山口,2053,28,2439
202312,中国,山口,2269,35,2699
202401,中国,山口,168,2,193
202402,中国,山口,335,4,388
202403,中国,山口,508,6,589
202404,中国,山口,681,13,796
202405,中国,山口,875,17,1011
202406,中国,山口,1039,19,1216
202407,中国,山口,1187,25,1387
202408,中国,山口,1356,28,1603
202409,中国,山口,1532,35,1821
202410,中国,山口,1728,40,2059
202411,中国,山口,1943,47,2301
202412,中国,山口,2152,51,2535
202501,中国,山口,197,2,244
202502,中国,山口,368,5,450
202503,中国,山口,557,8,678
202504,中国,山口,737,10,879
202505,中国,山口,921,13,1096
202506,中国,山口,1117,15,1340
202507,中国,山口,1288,16,1536
202508,中国,山口,1475,20,1765
202509,中国,山口,1695,24,2027
202510,中国,山口,1898,28,2272
201901,中国,岡山,412,11,474
201902,中国,岡山,816,15,936
201903,中国,岡山,1196,19,1373
201904,中国,岡山,1617,27,1840
201905,中国,岡山,2012,29,2287
201906,中国,岡山,2335,36,2641
201907,中国,岡山,2744,40,3095
201908,中国,岡山,3138,45,3568
201909,中国,岡山,3460,49,3947
201910,中国,岡山,3866,64,4397
201911,中国,岡山,4287,70,4854
201912,中国,岡山,4690,75,5315
202001,中国,岡山,376,1,409
202002,中国,岡山,707,6,783
202003,中国,岡山,1051,12,1157
202004,中国,岡山,1334,19,1478
202005,中国,岡山,1581,26,1755
202006,中国,岡山,1918,34,2125
202007,中国,岡山,2267,36,2522
202008,中国,岡山,2606,42,2899
202009,中国,岡山,2978,52,3309
202010,中国,岡山,3417,54,3832
202011,中国,岡山,3850,56,4333
202012,中国,岡山,4288,62,4840
202101,中国,岡山,358,6,384
202102,中国,岡山,735,7,801
202103,中国,岡山,1168,12,1290
202104,中国,岡山,1575,18,1753
202105,中国,岡山,1905,21,2115
202106,中国,岡山,2277,26,2520
202107,中国,岡山,2652,27,2949
202108,中国,岡山,3073,30,3415
202109,中国,岡山,3412,36,3804
202110,中国,岡山,3826,45,4255
202111,中国,岡山,4252,50,4745
202112,中国,岡山,4683,57,5239
202201,中国,岡山,398,7,441
202202,中国,岡山,671,12,744
202203,中国,岡山,1065,20,1192
202204,中国,岡山,1408,26,1583
202205,中国,岡山,1758,33,1980
202206,中国,岡山,2127,36,2387
202207,中国,岡山,2476,42,2781
202208,中国,岡山,2830,48,3190
202209,中国,岡山,3129,56,3530
202210,中国,岡山,3530,60,3967
202211,中国,岡山,3956,65,4433
202212,中国,岡山,4348,74,4855
202301,中国,岡山,350,3,389
202302,中国,岡山,726,6,808
202303,中国,岡山,1159,10,1309
202304,中国,岡山,1499,13,1688
202305,中国,岡山,1888,15,2141
202306,中国,岡山,2278,17,2575
202307,中国,岡山,2677,21,3028
202308,中国,岡山,3151,29,3564
202309,中国,岡山,3560,33,4015
202310,中国,岡山,4078,40,4582
202311,中国,岡山,4589,44,5174
202312,中国,岡山,5161,49,5816
202401,中国,岡山,390,3,439
202402,中国,岡山,765,9,864
202403,中国,岡山,1193,10,1339
202404,中国,岡山,1572,14,1761
202405,中国,岡山,1997,20,2256
202406,中国,岡山,2352,21,2649
202407,中国,岡山,2730,26,3080
202408,中国,岡山,3114,33,3516
202409,中国,岡山,3511,39,3959
202410,中国,岡山,3961,46,4470
202411,中国,岡山,4420,53,4982
202412,中国,岡山,4869,60,5489
202501,中国,岡山,423,3,480
202502,中国,岡山,743,6,838
202503,中国,岡山,1139,11,1284
202504,中国,岡山,1537,15,1737
202505,中国,岡山,1908,17,2184
202506,中国,岡山,2304,18,2649
202507,中国,岡山,2700,20,3100
202508,中国,岡山,3087,25,3557
202509,中国,岡山,3447,31,3978
202510,中国,岡山,3822,35,4396
201901,中国,島根,74,1,89
201902,中国,島根,122,4,137
201903,中国,島根,199,5,234
201904,中国,島根,275,9,326
201905,中国,島根,357,10,421
201906,中国,島根,429,12,499
201907,中国,島根,504,12,581
201908,中国,島根,581,15,666
201909,中国,島根,661,17,756
201910,中国,島根,733,19,838
201911,中国,島根,834,22,953
201912,中国,島根,927,25,1058
202001,中国,島根,73,2,78
202002,中国,島根,124,2,136
202003,中国,島根,184,3,210
202004,中国,島根,247,5,282
202005,中国,島根,294,7,334
202006,中国,島根,339,7,387
202007,中国,島根,407,8,463
202008,中国,島根,455,9,517
202009,中国,島根,523,10,596
202010,中国,島根,593,12,669
202011,中国,島根,659,17,744
202012,中国,島根,737,18,832
202101,中国,島根,58,1,64
202102,中国,島根,125,1,145
202103,中国,島根,191,1,221
202104,中国,島根,250,3,282
202105,中国,島根,309,3,352
202106,中国,島根,360,4,406
202107,中国,島根,418,5,466
202108,中国,島根,483,5,542
202109,中国,島根,552,7,618
202110,中国,島根,616,8,688
202111,中国,島根,692,9,771
202112,中国,島根,774,10,868
202201,中国,島根,65,1,73
202202,中国,島根,124,2,135
202203,中国,島根,176,6,187
202204,中国,島根,228,8,239
202205,中国,島根,295,9,315
202206,中国,島根,361,10,387
202207,中国,島根,426,11,459
202208,中国,島根,489,11,529
202209,中国,島根,550,13,596
202210,中国,島根,619,13,668
202211,中国,島根,698,15,753
202212,中国,島根,766,16,836
202301,中国,島根,73,3,78
202302,中国,島根,133,5,142
202303,中国,島根,204,9,224
202304,中国,島根,255,10,279
202305,中国,島根,317,11,354
202306,中国,島根,383,12,430
202307,中国,島根,436,14,488
202308,中国,島根,490,17,545
202309,中国,島根,543,17,604
202310,中国,島根,610,19,677
202311,中国,島根,674,21,751
202312,中国,島根,756,22,847
202401,中国,島根,66,2,73
202402,中国,島根,112,2,122
202403,中国,島根,169,2,191
202404,中国,島根,226,2,254
202405,中国,島根,293,3,329
202406,中国,島根,345,5,384
202407,中国,島根,395,6,440
202408,中国,島根,452,7,505
202409,中国,島根,511,7,572
202410,中国,島根,576,8,651
202411,中国,島根,626,8,710
202412,中国,島根,692,9,781
202501,中国,島根,58,3,66
202502,中国,島根,107,4,121
202503,中国,島根,160,4,177
202504,中国,島根,211,5,233
202505,中国,島根,271,6,298
202506,中国,島根,335,9,375
202507,中国,島根,383,9,433
202508,中国,島根,434,11,492
202509,中国,島根,486,12,548
202510,中国,島根,556,13,624
201901,中国,広島,533,6,678
201902,中国,広島,1041,13,1308
201903,中国,広島,1563,22,1943
201904,中国,広島,2118,27,2589
201905,中国,広島,2613,29,3218
201906,中国,広島,3157,30,3870
201907,中国,広島,3630,34,4431
201908,中国,広島,4123,40,5058
201909,中国,広島,4584,49,5597
201910,中国,広島,5117,56,6287
201911,中国,広島,5601,64,6852
201912,中国,広島,6257,75,7643
202001,中国,広島,433,7,541
202002,中国,広島,835,17,983
202003,中国,広島,1316,22,1587
202004,中国,広島,1683,23,1999
202005,中国,広島,2010,29,2364
202006,中国,広島,2328,34,2727
202007,中国,広島,2716,41,3208
202008,中国,広島,3044,43,3603
202009,中国,広島,3419,48,4054
202010,中国,広島,3816,54,4514
202011,中国,広島,4236,63,5003
202012,中国,広島,4779,71,5648
202101,中国,広島,332,3,398
202102,中国,広島,660,14,786
202103,中国,広島,1078,21,1267
202104,中国,広島,1407,24,1664
202105,中国,広島,1774,29,2093
202106,中国,広島,2159,37,2538
202107,中国,広島,2516,40,2945
202108,中国,広島,2891,44,3402
202109,中国,広島,3257,50,3848
202110,中国,広島,3616,59,4263
202111,中国,広島,4029,60,4764
202112,中国,広島,4655,70,5495
202201,中国,広島,282,3,336
202202,中国,広島,568,6,676
202203,中国,広島,929,11,1089
202204,中国,広島,1277,15,1508
202205,中国,広島,1631,23,1931
202206,中国,広島,2005,33,2364
202207,中国,広島,2395,38,2825
202208,中国,広島,2729,46,3212
202209,中国,広島,3058,51,3602
202210,中国,広島,3448,58,4076
202211,中国,広島,3853,64,4543
202212,中国,広島,4315,74,5088
202301,中国,広島,338,7,400
202302,中国,広島,668,14,786
202303,中国,広島,1067,19,1260
202304,中国,広島,1510,23,1804
202305,中国,広島,1886,30,2256
202306,中国,広島,2286,39,2752
202307,中国,広島,2627,43,3122
202308,中国,広島,2998,51,3568
202309,中国,広島,3348,57,3971
202310,中国,広島,3809,65,4538
202311,中国,広島,4221,71,4997
202312,中国,広島,4766,78,5602
202401,中国,広島,346,5,424
202402,中国,広島,710,17,852
202403,中国,広島,1148,21,1357
202404,中国,広島,1486,27,1739
202405,中国,広島,1817,31,2143
202406,中国,広島,2184,35,2585
202407,中国,広島,2519,44,2982
202408,中国,広島,2885,51,3433
202409,中国,広島,3213,54,3837
202410,中国,広島,3594,57,4293
202411,中国,広島,3935,66,4697
202412,中国,広島,4403,68,5236
202501,中国,広島,312,5,389
202502,中国,広島,585,11,690
202503,中国,広島,909,17,1064
202504,中国,広島,1225,19,1439
202505,中国,広島,1582,23,1879
202506,中国,広島,1912,28,2259
202507,中国,広島,2279,31,2699
202508,中国,広島,2608,37,3100
202509,中国,広島,2997,46,3545
202510,中国,広島,3407,49,4038
201901,中国,鳥取,68,2,81
201902,中国,鳥取,108,3,127
201903,中国,鳥取,174,7,199
201904,中国,鳥取,250,9,296
201905,中国,鳥取,317,9,383
201906,中国,鳥取,371,13,443
201907,中国,鳥取,428,15,505
201908,中国,鳥取,515,21,613
201909,中国,鳥取,573,22,678
201910,中国,鳥取,646,24,761
201911,中国,鳥取,734,30,866
201912,中国,鳥取,805,31,957
202001,中国,鳥取,53,1,66
202002,中国,鳥取,131,2,165
202003,中国,鳥取,180,2,225
202004,中国,鳥取,227,3,278
202005,中国,鳥取,268,5,318
202006,中国,鳥取,308,6,367
202007,中国,鳥取,358,7,423
202008,中国,鳥取,407,9,488
202009,中国,鳥取,464,12,560
202010,中国,鳥取,515,13,615
202011,中国,鳥取,564,16,671
202012,中国,鳥取,628,17,749
202101,中国,鳥取,40,0,48
202102,中国,鳥取,99,4,106
202103,中国,鳥取,150,4,164
202104,中国,鳥取,207,5,231
202105,中国,鳥取,255,8,284
202106,中国,鳥取,308,9,342
202107,中国,鳥取,351,10,392
202108,中国,鳥取,395,10,441
202109,中国,鳥取,434,12,487
202110,中国,鳥取,487,14,544
202111,中国,鳥取,555,18,619
202112,中国,鳥取,618,19,694
202201,中国,鳥取,49,1,60
202202,中国,鳥取,88,2,100
202203,中国,鳥取,141,4,160
202204,中国,鳥取,183,4,204
202205,中国,鳥取,239,6,271
202206,中国,鳥取,287,7,326
202207,中国,鳥取,334,8,378
202208,中国,鳥取,376,10,432
202209,中国,鳥取,423,13,484
202210,中国,鳥取,478,14,551
202211,中国,鳥取,542,14,625
202212,中国,鳥取,598,14,691
202301,中国,鳥取,33,0,36
202302,中国,鳥取,81,0,92
202303,中国,鳥取,141,1,163
202304,中国,鳥取,198,1,223
202305,中国,鳥取,255,2,287
202306,中国,鳥取,307,5,345
202307,中国,鳥取,361,7,412
202308,中国,鳥取,429,8,493
202309,中国,鳥取,480,9,558
202310,中国,鳥取,534,10,626
202311,中国,鳥取,595,13,691
202312,中国,鳥取,656,14,762
202401,中国,鳥取,52,0,59
202402,中国,鳥取,97,1,111
202403,中国,鳥取,138,1,157
202404,中国,鳥取,179,2,201
202405,中国,鳥取,240,3,270
202406,中国,鳥取,293,4,329
202407,中国,鳥取,345,5,383
202408,中国,鳥取,399,8,445
202409,中国,鳥取,443,8,498
202410,中国,鳥取,505,9,571
202411,中国,鳥取,546,12,615
202412,中国,鳥取,622,15,702
202501,中国,鳥取,47,1,48
202502,中国,鳥取,106,2,118
202503,中国,鳥取,146,5,168
202504,中国,鳥取,194,6,220
202505,中国,鳥取,232,7,261
202506,中国,鳥取,275,7,315
202507,中国,鳥取,310,7,357
202508,中国,鳥取,360,8,416
202509,中国,鳥取,397,9,462
202510,中国,鳥取,448,12,512
201901,中部,富山,157,3,180
201902,中部,富山,347,4,401
201903,中部,富山,524,6,598
201904,中部,富山,733,11,831
201905,中部,富山,921,16,1044
201906,中部,富山,1113,18,1265
201907,中部,富山,1295,19,1471
201908,中部,富山,1498,19,1720
201909,中部,富山,1680,22,1933
201910,中部,富山,1896,28,2176
201911,中部,富山,2111,30,2424
201912,中部,富山,2353,34,2696
202001,中部,富山,140,3,157
202002,中部,富山,320,6,357
202003,中部,富山,497,10,563
202004,中部,富山,630,11,717
202005,中部,富山,728,13,830
